Nama Mata Kuliah,Kode Mata Kuliah,Beban Studi,Prodi,Semester,Prasyarat,Capaian Pembelajaran Mata Kuliah,Deskripsi Mata Kuliah/Silabus
Teknik Karaktrisasi Material 1,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanosains Kuantum,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kumputasi Nanoteknologi 1,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanoteknologi Pertanian dan Pemrosesan Makanan,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Permukaan dan Antar Muka,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Teknik dan Fabrikasi Nanolitografi,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Nanoteknologi 3,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Teori Zat padat,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Komputasi Nanoteknologi,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Aplikasi Nanoteknologi dalam Industri,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanobiomedis,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Rekayasa Material,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Teknik Karakterisasi Material 2,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
"Nanoelektronik, Fotonik, dan Sensor",Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanoteknologi Konversi dan Penyimpanan Energi,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanorobot,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanogeosains,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Nanoteknologi 4,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanoteknologi Lingkungan,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Manajemen Lab dan K3,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Magang Industri,Tidak Ada,4 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanoteknologi Kosmetik,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanoteknologi Tekstil,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Material dan Metalurgi,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nanoelektrokimia,Tidak Ada,2 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Nano dan Mikro Emulsi,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kenanomagnetan,Tidak Ada,3 sks,Rekayasa Nanoteknologi,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kalkulus dan Aplikasinya,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Dasar Pemrograman,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pengukuran Dasar (Praktikum),Tidak Ada,1 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Aljabar Linier,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Computer Aided Design,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Struktur Data,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Rangkaian Listrik,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pemrograman Berorientas Objek,Tidak Ada,2 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pemrograman Berorientas Objek (Praktikum),Tidak Ada,1 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Linier,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
"Probabilitas, Statistika, dan Proses Stokastik",Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kecerdasan Buatan,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Elektronika,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Elektronika (Praktikum),Tidak Ada,1 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sensor dan Akuator,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Kontrol,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Tertanam dan IoT,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Eksperimen Robotika I,Tidak Ada,1 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Machine Learning (Praktikum),Tidak Ada,2 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Mobile Robot,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Robot Manipulator,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Computer Vision,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Otomasi Industri,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Eksperimen Robotika II,Tidak Ada,2 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Topik Khusus Robotika dan Kecerdasan Buatan,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Autonomous Vehicle ,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Real-Time Computing,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Information Retrieval,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Deep Learning,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Robot Humanoid,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Robot Terbang,Tidak Ada,2 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Proses Mining Cerdas dan Otomasi Proses Robot,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Kontrol Robotika Lanjut,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pengolahan Sinyal Lanjut,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Cloud Computing,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Multi Agen,Tidak Ada,3 sks,Teknik Robotika dan Kecerdasan Buatan,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Matematika,Tidak Ada,3 sks,Teknik Industri,1.0,Tidak Ada,Tidak Ada,Tidak Ada
Fisika Dasar 1,Tidak Ada,2 sks,Teknik Industri,1.0,Tidak Ada,Tidak Ada,Tidak Ada
Fisika dasar 2,Tidak Ada,2 sks,Teknik Industri,2.0,Tidak Ada,Tidak Ada,Tidak Ada
Matematika Lanjut,Tidak Ada,3 sks,Teknik Industri,2.0,Tidak Ada,Tidak Ada,Tidak Ada
gambar Teknik,Tidak Ada,3 sks,Teknik Industri,2.0,Tidak Ada,Tidak Ada,Tidak Ada
Pemrograman Komputer,Tidak Ada,3 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Mekanika Teknik,Tidak Ada,2 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Matematika Optimasi,Tidak Ada,2 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Statistika Dasar,Tidak Ada,2 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Proses Manufaktur,Tidak Ada,3 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Ergonomi,Tidak Ada,3 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Matriks dan Ruang Vektor,Tidak Ada,2 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Pengantar Ekonomika,Tidak Ada,2 sks,Teknik Industri,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Penelitian Operasi Dasar,Tidak Ada,3 sks,Teknik Industri,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Otomasi Industri,Tidak Ada,2 sks,Teknik Industri,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Bahasa Inggris,Tidak Ada,2 sks,Teknik Industri,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Analisis Biaya,Tidak Ada,2 sks,Teknik Industri,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Pengukuran Kerja,Tidak Ada,3 sks,Teknik Industri,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Statistika Industri,Tidak Ada,3 sks,Teknik Industri,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Manufaktur,Tidak Ada,3 sks,Teknik Industri,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Perancangan dan Pengembangan Produk,Tidak Ada,3 sks,Teknik Industri,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Penelitian Operasi Lanjut,Tidak Ada,3 sks,Teknik Industri,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Penjaminan dan Pengendalian Mutu,Tidak Ada,3 sks,Teknik Industri,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Ekonomi Teknik,Tidak Ada,2 sks,Teknik Industri,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Pemodelan Sistem,Tidak Ada,3 sks,Teknik Industri,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Perencanaan dan Pengendalian Produksi,Tidak Ada,3 sks,Teknik Industri,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Simulasi Komputer,Tidak Ada,3 sks,Teknik Industri,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Manajemen Rantai Pasok,Tidak Ada,3 sks,Teknik Industri,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Organisasi dan Psikologi Industri,Tidak Ada,3 sks,Teknik Industri,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Perancangan Tata Letak Fasilitas,Tidak Ada,3 sks,Teknik Industri,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Pengantar Layanan Kesehatan,Tidak Ada,2 sks,Teknik Industri,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Metodologi Penyelesaian Masalah,Tidak Ada,2 sks,Teknik Industri,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Analisa dan Perancangan Sistem Informasi,Tidak Ada,3 sks,Teknik Industri,7.0,Tidak Ada,Tidak Ada,Tidak Ada
Perancangan Teknik Industri,Tidak Ada,1 sks,Teknik Industri,7.0,Tidak Ada,Tidak Ada,Tidak Ada
Teknologi Hijau,Tidak Ada,4 sks,Teknik Industri,7.0,Tidak Ada,Tidak Ada,Tidak Ada
Kesehatan dan Keselamatan Kerja,Tidak Ada,2 sks,Teknik Industri,7.0,Tidak Ada,Tidak Ada,Tidak Ada
Ergonomi Makro,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Ergonomi Kognitif,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Lingkungan Kerja Ergonomi,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Biodinamika Gerak Manusia,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Faktor Manusia dalam Layanan Kesehatan,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Perancangan Teknik Keandalan ,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sustainable Manufacturing,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pengujian dan Karakterisasi Material,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Additive Manufacturing,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Robotik Industri,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Kendali Manufaktur Otomatik,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Manajemen Resiko,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Manajemen Jasa,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Data Mining,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Big Data Analysis,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Metaheuristic,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Manajemen Logistik,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Manajemen Proyek,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Magang Industri,Tidak Ada,3 sks,Teknik Industri,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Matematika,Tidak Ada,3 sks,Teknik Elektro,1.0,Tidak Ada,Tidak Ada,Tidak Ada
Fisika dasar 2,Tidak Ada,2 sks,Teknik Elektro,2.0,Tidak Ada,Tidak Ada,Tidak Ada
Instrumentasi Besaran Listrik,Tidak Ada,2 sks,Teknik Elektro,2.0,Tidak Ada,Tidak Ada,Tidak Ada
Matematika Lanjut,Tidak Ada,3 sks,Teknik Elektro,2.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Instrumentasi Besaran Listrik,Tidak Ada,1 sks,Teknik Elektro,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Pemrograman Komputer,Tidak Ada,3 sks,Teknik Elektro,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Dasar Sistem dan Jaringan Telekomunikasi,Tidak Ada,2 sks,Teknik Elektro,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Rangkaian Listrik,Tidak Ada,4 sks,Teknik Elektro,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Persamaan Differensial Biasa dan Parsial,Tidak Ada,3 sks,Teknik Elektro,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Teknik Sistem Digital,Tidak Ada,2 sks,Teknik Elektro,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Mikroprosesor dan Mikrokontroler,Tidak Ada,2 sks,Teknik Elektro,3.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Siste Teknik Digital,Tidak Ada,1 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Sistem Mikroprosesor dan Mikrokontroler,Tidak Ada,2 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Rangkaian Listrik,Tidak Ada,1 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Sistem dan Jaringan Telekomunikasi,Tidak Ada,1 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Medan Elektromagnetik,Tidak Ada,4 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Kontrol,Tidak Ada,3 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Tenaga Listrik,Tidak Ada,3 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Sinyal dan Sistem,Tidak Ada,3 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Rangkaian Elektronika,Tidak Ada,3 sks,Teknik Elektro,4.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Sistem Kontrol,Tidak Ada,1 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Sistem Tenaga Listrik,Tidak Ada,1 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Praktikum Rangkaian Elektronika,Tidak Ada,1 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Metode Numerik,Tidak Ada,3 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
"Probabilitas, Statistika, dan Proses Stokastik",Tidak Ada,4 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Agama II,Tidak Ada,2 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Teknik Tegangan Tinggi,Tidak Ada,3 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Elektronika Daya,Tidak Ada,3 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Analisis Sistem Tenaga Listrik,Tidak Ada,4 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Analisis dan Desain Sistem Kontrol,Tidak Ada,4 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Otomasi Sistem,Tidak Ada,3 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Optimasi Sistem Kontrol,Tidak Ada,3 sks,Teknik Elektro,5.0,Tidak Ada,Tidak Ada,Tidak Ada
Kewirausahaan,Tidak Ada,2 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Bahasa Inggris,Tidak Ada,2 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Transmisi Tenaga Listrik,Tidak Ada,2 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Distribusi Tenaga Listrik,Tidak Ada,2 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Mesin Listrik,Tidak Ada,4 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Pengaman Sistem Tenaga Listrik,Tidak Ada,2 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Desain dan Instalasi Tenaga Listrik,Tidak Ada,4 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Sistem Terintegrasi,Tidak Ada,4 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Konrol Digital,Tidak Ada,2 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Komputasi Sistem Linier,Tidak Ada,2 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Kontrol Optimal,Tidak Ada,3 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Instrumentasi Sistem Kontrol,Tidak Ada,3 sks,Teknik Elektro,6.0,Tidak Ada,Tidak Ada,Tidak Ada
Operasi Optimum Sistem Tenaga Listrik,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Perencanaan Sistem Tenaga Listrik,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Dinamika dan Stabilitas Sistem Tenaga Listrik,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kualitas Daya Listrik,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pemeliharaan Peralatan Listrik,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Energi Baru dan Terbarukan,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Standart dan Regulasi Sistem Tenaga,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Topik Khusus Sistem Tenaga,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kontrol Cerdas,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kontrol Penggerak Elektrik,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kontrol Sistem Proses,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kontrol Biomedis,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pengolahan Sinyal Kontrol,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kontrol Adaptif,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Mekatronika,Tidak Ada,3 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kendali Otomotif,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Topik Khusus Sistem Kontrol,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Manajemen Proyek,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kesehatan dan Keselamatan Kerja,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
MATLAB/SIMULINK,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Desain dan implementasi gambar Teknik,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Instalasi listrik,Tidak Ada,2 sks,Teknik Elektro,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
