Nama Mata Kuliah,Kode Mata Kuliah,Beban Studi,Prodi,Semester,Prasyarat,Capaian Pembelajaran Mata Kuliah,Deskripsi Mata Kuliah/Silabus
Teknologi Hijau,TNM102,2 sks,general,3.0,Tidak Ada,"Setelah mengikuti mata kuliah ini, mahasiswa dapat menguraikan konsep dasar teknologi hijau dan menguraikan peran yg dapat dilakukan oleh masing masing keahilan bidang teknik (TI, TE, TSD, TRKB, RNT) dalam mendukung terwujudnya teknologi hijau.","Mata kuliah ini membahas tentang wawasan dan keilmuan dibidang Teknik Lingkungan (Sejarah Revolusi Industri dan hubungannya dengan Green Technology; hubungan antara Green Technology dengan Global Warming; hubungan antara Sustainable Development Goals dan Green Technology), Teknik Industri (aspek lingkungan fisik yang dipengaruhi oleh rancangan sistem integral) Teknologi Sains Data (green data center dan pembangunan green data center dari segi teknologi dan strategi; peran dari pengelolaan data geospasial dalam menjawab permasalahan permasalahan lingkungan), Teknik Robotika dan Kecerdasan Buatan (aplikasi robotika dan AI pada teknologi hijau), Rekayasa Nanoteknologi (proses sintesis nanomaterial dengan mengaplikasikan green chemistry sebagai sustainable manufacturing practice; aplikasi nanoteknologi dalam pengolahan limbah di industri dan lingkungan dan pemanfaatan sebagai sumber energy) dan Teknik Elektro (Potensi energi terbarukan di Indonesia; Prinsip kerja pembangkit energi terbarukan)"
Eksplorasi dan Visualisasi Data,SID205,3 sks (2 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,3.0,Metode Statistika,"Mahasiswa mampu menjelaskan tujuan eksplorasi dan visualisasi data; menerapkan pengetahuan dan pemahaman atas Eksplorasi dan Visualisasi Data termasuk berpikir kreatif, inovatif dan mampu menerapkannya dalam sebuah data; menggunakan bahasa pemrograman R untuk eksplorasi dan visualisasi data dengan baik dan benar; mendemonstrasikan tools R Studio untuk eksplorasi; menerapkan dan memahami metode statistika dasar untuk memahami data; membuat plot yang sesuai dengan karakteristik data sehingga didapatkan insight dan kesimpulan yang baik dan benar dari data; menciptakan ide baru atau cara pandang yang kritis dalam melihat konsep Eksplorasi dan Visualisasi Data maupun permasalahan yang dihadapi pada kondisi nyata; menerapkan keterampilan komunikasi efektif dalam rangka penyampaian argumentasi empiris","Mahasiswa melakukan eksplorasi data, meninjau metode yang tepat untuk ringkasan data dengan tujuan untuk merangkum, memahami, mengekstrak pola tersembunyi dan mengidentifikasi hubungan antar variabel pada data. Menggunakan grafik sederhana untuk memahami data, tetapi juga metode canggih untuk meneliti data dan plot interaktif untuk mengkomunikasikan informasi data ke khalayak yang lebih luas. Untuk analisis data dan visualisasi dilakukan dengan tools RStudio, yang dikombinasikan dengan aplikasi R shiny untuk membuat grafik interaktif dan R markdown untuk membuat laporan yang rapi."
Riset Operasi,MAS212,3 sks,Teknologi Sains Data,3.0,Tidak Ada,Setelah mengikuti mata kuliah ini mahasiswa diharapkan dapat menguasai prinsip riset operasi dan menerapkan modelTidak Adamodel dalam riset operasi.,"Riset operasi merupakan disiplin ilmu yang menerapkan alatTidak Adaalat analitis berdasarkan metode kuantitatif untuk membantu pengambilan keputusan. Pokok bahasan: program linier, metode simplek, dualitas dan sensitifitas, persoalan transportasi, CPM dan PERT, teori antrian, jaringan kerja proyek"
Matematika Diskrit,MAL204,3 sks,"Teknologi Sains Data, Teknik Robotika dan Kecerdasan Buatan",3.0,Tidak Ada,"Setelah mengikuti mata kuliah ini mahasiswa diharapkan dapat menjelaskan konsep pokok terkait himpunan, relasi antar himpunan, dan menggunakan teknik induksi matematika dalam pembuktian suatu teorema.","Kaidah pencacahan, permutasi dan kombinasi; prinsip inklusi dan eksklusi, prinsip sarang merpati, relasi urutan parsial dan relasi urutan total, penyelesaian relasi rekurensi, bilangan fibonacci, penyelesaian fungsi rekursif, graf, graf terhubung, isomorfisma graf, pohon, matriks keterhubungan suatu graf, graf planar, graf euler, matching maksimum."
Algoritma Pemrograman II,SIA206,3 sks (2 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,3.0,Algoritma Pemrograman I,"Pada akhir Mata Kuliah, mahasiswa diharapkan dapat menerapkan deployment model, web programming with Python, API serta menyelesaikan permasalahan/ proyek dengan menggunakan algoritma pemrograman.","Deployment model, web programming with Python, API, projectTidak Adabased"
Regresi Terapan,MAS230,3 sks,Teknologi Sains Data,3.0,Metode Statistika,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu menerapkan metode regresi pada data riil.,"Regresi linier berganda, Inferensi pada regresi linier berganda, Regresi polinomial, Diagnostik model regresi, Estimasi kurva, Penyimpangan asumsi galat, dan Pemilihan model regresi terbaik."
Teori Komunikasi Massa,SOK213,2 sks,Teknologi Sains Data,3.0,Tidak Ada,"Pada akhir Mata Ajar, mahasiswa diharapkan dapat: 1) Menjelaskan dan mengkritik teori komunikasi massa khususnya pada media baru. 2) Menjelaskan pengaruh teknologi pada komunikasi massa dan media.","Mata kuliah ini membahas teori dan sejarah komunikasi massa serta perkembangannya hingga saat ini, selain itu membahas tentang pengaruh teknologi terhadap komunikasi massa serta keuntungan dan kerugian dalam pengintegrasian teknologi dan komunikasi massa."
Pengantar Kecerdasan Buatan,SIC203,3 sks,Teknologi Sains Data,4.0,Tidak Ada,"Pada akhir Mata kuliah ini mahasiswa diharapkan dapat: 1) Menjelaskan dan mengkritik argumen yangtelah diajukan tentang kecerdasan buatan. 2) Menjelaskan dan terapkan prosedur pencarian buta dan heuristik standar, tunjukkan pemahaman tentang kekuatan dan kelemahan mereka dan bagaimana hal itu dapat diterapkan untuk memecahkan masalah yang didefinisikan dengan baik. 3) Menjelaskan pengoperasian berbagai prosedur pembelajaran mesin yang ada dan tunjukkan pemahaman tentang jenis masalah yang sesuai untuk mereka.","Mata kuliah ini memberikan pengantar untuk bidang dasar kecerdasan buatan: pencarian, representasi pengetahuan dan pembelajaran. Ini menopang semua bidang kecerdasan buatan yang lebih maju dan sangat penting bagi bidang terkait seperti permainan komputer dan robot. Dalam setiap bidang, berbagai metodologi dan teknik disajikan; Penekanan ditempatkan pada pemahaman kekuatan dan kelemahan mereka dan karenanya pada penilaian mana yang paling cocok untuk tugas tertentu. Mata kuliah ini juga memberikan pengantar argumen filosofis tentang kemungkinan mesin dapat berpikir."
Statistika Matematika,MAS316,3 sks,Teknologi Sains Data,4.0,Probabilitas,Setelah mengikuti mata kuliah ini mahasiswa diharapkan dapat menerapkan konsepTidak Adakonsep statistika inferensia dengan baik dan benar.,"Konsep inferensia statistika (estimasi dan uji hipotesis); metode estimasi titik dengan maximum likelihood estimation (MLE); Uniformly Minimum Variance Unbiased; estimasi titik dengan metode momen, metode kuadrat terkecil (least square), kriteria kebaikan estimator, statistik cukup; estimasi interval, selang kepercaya"
Komputasi Statistika,MAS246,3 sks (2 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,4.0,Metode Statistika,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu membuat algoritma untuk pemrograman prosedur statistika menggunakan Open Source Software R (OSSTidak AdaR)/ Python.,"Pengantar Open Source Software R (OSSTidak AdaR)/ Python, Struktur Data dan Manajemen Data dalam R/Python, Beberapa fungsi statistik dalam R/Python, Struktur Program R/Python, Seleksi Kondisi, Looping, Desain Widget Sederhana, Desain Widget Kompleks, Aplikasi Fungsi pada Desain Widget"
Pengantar Basis Data,SID206,4 sks (3 sks kuliah dan 1 sks praktikum),Teknologi Sains Data,4.0,Tidak Ada,"Pada akhir Mata kuliah ini mahasiswa diharapkan dapat: 1) menyiapkan skema relasional dari model konseptual yang dikembangkan menggunakan model hubungan entitas. 2) menggunakan pengertian relasi, kunci dan bentuk normal dalam desain basis data relasional. 3) membuat skema basis data relasional dalam SQL yang menggabungkan kunci, integritas entitas, dan kendala integritas referensial. 4) mendemonstrasikan definisi data dalam SQL dan mengambil informasi dari database menggunakan pernyataan SQL SELECT. 5) menggunakan sistem manajemen basis data relasional untuk membangun basis data.","Mata kuliah ini akan memberikan pengantar pemodelan data dan desain dan implementasi database relasional, dicontohkan menggunakan SQL. Mahasiswa akan menyiapkan skema relasional dari model konseptual menggunakan model hubungan entitas. Mereka akan memahami pengertian relasi, kunci, dan bentuk normal dalam desain basis data. Mahasiswa akan mendemonstrasikan definisi data dalam SQL dan mengambil informasi menggunakan SQL SELECT, yang mengarah ke sistem manajemen basis data relasional untuk membangun basis data."
Data Mining I,MAS207,4 sks,Teknologi Sains Data,4.0,Eksplorasi dan Visualisasi Data dan Algoritma Pemrograman I,"Pada akhir Mata kuliah ini mahasiswa diharapkan dapat membersihkan data, menganalisis, dan memvisualisasikan data untuk data terstruktur.","pengetahuan dan keterampilan tentang fase lengkap dari penambangan data, mulai dari pembersihan data, analisis sampai dengan visualisasi. Mahasiswa diajarkan dasarTidak Adadasar analisis data melalui contoh nyata, mulai dari belajar cara mengambil data mentah, mengekstrak informasi yang bermakna, menggunakan alat statistik, dan membuat visualisasi untuk data terstruktur."
Metode Matematika,MAA208,3 sks,Teknologi Sains Data,4.0,Tidak Ada,"Setelah mengikuti mata ajaran ini mahasiswa diharapkan dapat menjelaskan konsep pokok aljabar vektor, hukum Newton tentang gerak, gaya, momen gaya dan mampu menggunakan metode numerik untuk persamaan dan sistem persamaan tak linear; derivatif numerik dan integrasi numerik.","Pengantar vektor (jumlah dan selisih dua vektor, representrasi geometeris jumlah dan selisih vektor); operasi dasar matriks; sistem persamaan linier; ruang vektor; nilai dan vektor eigen; perhitungan akar dan solusi; kinematika gerak; hukum Newton tentang gerak, gaya, momentum dan momen gaya; metode numerik untuk persamaan dan sistem persamaan tak linear; derivatif numerik dan integrasi numerik."
Optimasi Kombinatorik,MAA209,2 sks,Teknologi Sains Data,4.0,Riset Operasi,Pada akhir Mata Ajaran ini mahasiswa diharapkan dapat: 1) merumuskan masalah perencanaan dan penjadwalan sebagai program integer; 2) menggunakan relaksasi dan dualitas pemrograman linear untuk menghasilkan batas atas untuk nilai objektif program integer; 3) menyelesaikan program integer dengan algoritma cuttingTidak Adaplane; 4) menyelesaikan program integer dan integer campuran dengan BranchTidak AdaandTidak AdaBound; 5) menerapkan algoritma dekomposisi Benders untuk program integer campuran.,"Pemrograman linier integer, pemrograman linier linear"
Analisis Data Spasial,MAS317,3 sks,Teknologi Sains Data,4.0,Tidak Ada,Setelah mengikuti mata kuliah ini mahasiswa diharapkan mampu mengaplikasikan analisis data spasial menggunakan perangkat lunak R dan GWR5.,"Pengantar Analisis Data Spasial, Ordinary Kriging, CoTidak AdaKriging, Peta Tematik, Regresi Spasial: Geographically Weighted Regression (GWR), Geographically Weighted Logistic Regression, Geographically Weighted Negative Binomial Regression (GWNBR), Mixed Geographically Weighted Regression (MGWR) dengan software Statistika (GWR 5 dan R)."
Analisis Data Medis,MAS247,3 sks,Teknologi Sains Data,4.0,Probabilitas,"Setelah mengikuti mata kuliah ini, diharapkan mahasiswa dapat menganalisis data medis dengan metode yang sesuai.","Uji normalitas data medis, aplikasi beberapa metode statistika pada data medis, statistika risiko, statistika diagnostik."
Kalkulus Peubah Banyak,MAA203,3 sks,Teknologi Sains Data,4.0,Matematika Lanjut,Setelah mengikuti mata kuliah ini mahasiswa diharapkan dapat menjelaskan konsep turunan dan integral fungsi dua peubah dan terapannya.,"Vektor, diferensial vektor, fungsi real peubah banyak, fungsi bernilai vektor, integral lipat, integral garis dan integral permukaan, teorema integral (teorema Green, Gauss, dan teorema Stokes)."
